text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,tf-idf
Федерал,false,86,13,0,false,Tahoma,true,58,47,7,7,
ьное,false,140,12,8,false,Tahoma,true,57,27,12,7,
госуда,false,172,11,13,false,Tahoma,true,58,35,19,7,
ое,false,264,8,20,false,Tahoma,true,60,12,22,6,0.44465780490343443
б,false,281,13,23,false,Tahoma,true,62,4,24,4,
юджетное,false,288,10,25,false,Tahoma,true,59,59,33,7,
об,false,353,13,34,false,Tahoma,true,61,10,36,6,
вательцое,false,395,12,37,false,Tahoma,true,59,60,46,7,
ие,false,523,12,47,false,Tahoma,true,61,12,49,7,0.0
рственн,false,213,11,50,false,Tahoma,true,61,44,57,7,
разо,false,368,12,58,false,Tahoma,true,63,22,62,6,
учрежден,false,462,12,63,false,Tahoma,true,63,55,71,7,
высшего,false,250,13,0,false,Tahoma,true,74,52,7,8,0.0
образования,false,310,13,8,false,Tahoma,true,75,75,19,7,0.0
россиЙскАя,false,131,16,0,false,Tahoma,true,86,97,10,11,0.0
АкАдвIииrI,false,237,18,11,false,Tahoma,true,89,78,21,9,
нАродного,false,324,18,22,false,Tahoma,true,88,86,31,10,
хозяЙствА,false,419,18,32,false,Tahoma,true,89,86,41,11,
И,false,203,15,0,false,Tahoma,true,108,7,1,6,0.0
ГОСУДАРСТВЕННОЙ,false,214,15,2,false,Tahoma,true,105,136,17,9,0.0
СЛУЖБЫ,false,368,15,18,false,Tahoma,true,107,60,24,9,
ПРИ,false,156,15,0,false,Tahoma,true,123,22,3,7,0.39164905395343774
ПРЕЗШЕНТЕ,false,184,15,4,false,Tahoma,true,121,83,13,9,
РОССИЙСКОЙ,false,283,15,14,false,Tahoma,true,122,94,24,9,0.0
ОВДШРАЦИИ,false,390,15,25,false,Tahoma,true,123,89,34,9,
Институт,false,162,13,0,false,Tahoma,true,153,59,8,8,0.0
государственной,false,227,13,9,false,Tahoma,true,154,103,24,8,0.0
службы,false,337,12,25,false,Tahoma,true,155,46,31,8,
и,false,390,13,32,false,Tahoma,true,157,6,33,7,0.0
управлеция,false,401,13,34,false,Tahoma,true,159,71,44,8,
Направление,false,90,10,0,false,Tahoma,true,197,62,11,6,0.3010299956639812
подготовки,false,159,4,12,false,Tahoma,true,197,53,22,6,0.39164905395343774
:,false,218,4,23,false,Tahoma,true,202,1,24,2,0.0
ОбразовательнаJI,false,90,10,0,false,Tahoma,true,212,81,16,6,
программа:,false,180,10,17,false,Tahoma,true,212,54,27,6,0.0
38.04.01,false,250,11,0,false,Tahoma,true,198,40,8,6,
Экономика,false,294,11,9,false,Tahoma,true,198,53,18,6,0.0
Государственное,false,249,10,0,false,Tahoma,true,213,80,15,6,0.0
экономики,false,417,10,16,false,Tahoma,true,214,52,25,6,0.0
регулирование,false,338,10,26,false,Tahoma,true,215,71,39,6,0.3010299956639812
IИАГИС,false,201,12,0,false,Tahoma,true,270,47,6,8,
ТЕ,false,254,10,7,false,Tahoma,true,271,14,9,7,
Р,false,273,15,10,false,Tahoma,true,273,5,11,6,
СКАЯ,false,282,10,12,false,Tahoma,true,270,36,16,9,
С,false,356,15,17,false,Tahoma,true,273,6,18,6,0.0
ЕРТАЦИrI,false,366,13,19,false,Tahoma,true,270,66,27,9,
ДИС,false,325,13,28,false,Tahoma,true,274,25,31,8,
СОВЕРШЕНСТВОВАНИЕ,false,93,13,0,false,Tahoma,true,311,142,17,8,0.3010299956639812
МЕХАНИЗМА,false,246,13,18,false,Tahoma,true,312,76,27,8,
ГОСУДАРСТВЕННОЙ,false,330,13,28,false,Tahoma,true,313,123,43,8,0.0
ПОДДЕРЖКИ,false,462,13,44,false,Tahoma,true,314,77,53,7,
ИННОВАЦИОННОГО,false,113,13,0,false,Tahoma,true,325,122,14,8,0.39164905395343774
РАЗВИТИЯ,false,242,12,15,false,Tahoma,true,327,61,23,7,0.0
ПРЕДПРИ,false,309,12,24,false,Tahoma,true,327,53,31,7,
ЯТИЙ,false,370,13,32,false,Tahoma,true,328,31,36,7,
АВТОМОБИЛЬНОЙ,false,406,13,37,false,Tahoma,true,328,113,50,8,
ПРОМЫШЛЕННОСТИ,false,223,13,0,false,Tahoma,true,340,127,14,8,0.0
РОССИИ,false,360,13,15,false,Tahoma,true,341,50,21,8,0.6020599913279624
Автор:,false,324,12,0,false,Tahoma,true,397,35,6,7,0.3010299956639812
обучающийся,false,324,11,0,false,Tahoma,true,411,68,11,6,
группы,false,399,10,12,false,Tahoma,true,412,35,18,6,0.3010299956639812
ЗМ1,false,440,10,19,false,Tahoma,true,412,19,22,6,
8-34,false,463,10,23,false,Tahoma,true,413,19,27,6,
обучения,false,407,11,0,false,Tahoma,true,426,46,8,6,0.39164905395343774
/,false,374,10,0,false,Tahoma,true,451,5,1,9,0.0
Коборов,false,388,10,2,false,Tahoma,true,454,39,9,6,
Павел,false,434,11,10,false,Tahoma,true,454,28,15,6,
Алекс,false,467,11,16,false,Tahoma,true,454,28,21,6,
андрович,false,498,15,22,false,Tahoma,true,454,51,30,7,
l,false,556,15,31,false,Tahoma,true,452,3,32,9,
Руководитель:,false,324,11,0,false,Tahoma,true,494,75,13,6,0.3010299956639812
Профессор,false,324,13,0,false,Tahoma,true,507,67,9,8,
кафедры,false,398,11,10,false,Tahoma,true,507,54,17,8,0.0
государственного,false,460,11,18,false,Tahoma,true,509,88,34,6,0.0
"экономики,",false,429,14,0,false,Tahoma,true,521,76,10,9,0.0
регулирования,false,324,11,11,false,Tahoma,true,523,98,24,8,0.3010299956639812
доктор,false,516,11,25,false,Tahoma,true,525,34,31,6,
экономических,false,324,10,0,false,Tahoma,true,536,74,13,6,0.0
"наук,",false,405,10,14,false,Tahoma,true,537,24,19,6,0.0
профессор,false,435,10,20,false,Tahoma,true,537,51,29,6,
/,false,377,11,0,false,Tahoma,true,561,6,1,9,0.0
Мельников,false,391,10,2,false,Tahoma,true,564,54,11,6,
Роман,false,452,12,12,false,Tahoma,true,565,29,17,6,
Михайлович,false,486,15,18,false,Tahoma,true,564,69,28,7,
l,false,563,15,29,false,Tahoma,true,563,3,30,9,
"MocKBa,202l",false,267,12,0,false,Tahoma,true,757,80,11,8,
r.,false,355,12,12,false,Tahoma,true,758,8,14,7,
2,false,316,12,0,false,TimesNewRomanPSMT,true,784,6,1,5,0.5114409330385058
Содержание,false,280,14,0,true,TimesNewRomanPS-BoldMT,false,63,77,10,6,
Введение,false,85,14,0,false,TimesNewRomanPSMT,true,111,56,8,6,
…………………………………………………………………………..3,false,145,14,9,false,TimesNewRomanPSMT,true,111,405,40,6,0.0
Глава,false,85,14,0,false,TimesNewRomanPSMT,true,135,34,5,6,
1,false,126,14,6,false,TimesNewRomanPSMT,true,135,7,7,6,0.555429854985112
Теоретические,false,140,14,8,false,TimesNewRomanPSMT,true,135,88,21,6,0.3010299956639812
аспекты,false,235,14,22,false,TimesNewRomanPSMT,true,135,48,29,6,
государственного,false,291,14,30,false,TimesNewRomanPSMT,true,135,106,46,6,0.0
регулирования,false,404,14,47,false,TimesNewRomanPSMT,true,135,88,60,6,0.3010299956639812
развития,false,499,14,61,false,TimesNewRomanPSMT,true,135,52,69,6,0.0
промышленных,false,85,14,0,false,TimesNewRomanPSMT,true,159,95,12,6,0.0
предприятий,false,183,14,13,false,TimesNewRomanPSMT,true,159,77,24,6,0.44465780490343443
……………………………………………………7,false,264,14,25,false,TimesNewRomanPSMT,true,159,286,46,6,0.3010299956639812
1.1,false,85,14,0,false,TimesNewRomanPSMT,true,183,17,3,6,
Необходимость,false,105,14,4,false,TimesNewRomanPSMT,true,183,93,17,6,
государственного,false,201,14,18,false,TimesNewRomanPSMT,true,183,106,34,6,0.0
регулирования,false,310,14,35,false,TimesNewRomanPSMT,true,183,88,48,6,0.3010299956639812
развития,false,401,14,49,false,TimesNewRomanPSMT,true,183,52,57,6,0.0
промышленных,false,457,14,58,false,TimesNewRomanPSMT,true,183,95,70,6,0.0
предприятий,false,85,14,0,false,TimesNewRomanPSMT,true,207,77,11,6,0.44465780490343443
в,false,165,14,12,false,TimesNewRomanPSMT,true,207,6,13,6,0.0
условиях,false,174,14,14,false,TimesNewRomanPSMT,true,207,54,22,6,0.3010299956639812
современного,false,231,14,23,false,TimesNewRomanPSMT,true,207,82,35,6,0.4822681122428943
рынка,false,317,14,36,false,TimesNewRomanPSMT,true,207,36,41,6,0.0
……………………………..……7,false,357,14,42,false,TimesNewRomanPSMT,true,207,195,58,6,0.3010299956639812
1.2,false,85,14,0,false,TimesNewRomanPSMT,true,232,17,3,6,
Инновационность,false,109,14,4,false,TimesNewRomanPSMT,true,232,107,19,6,0.39164905395343774
как,false,223,14,20,false,TimesNewRomanPSMT,true,232,19,23,6,0.3010299956639812
фактор,false,250,14,24,false,TimesNewRomanPSMT,true,232,42,30,6,0.44465780490343443
развития,false,299,14,31,false,TimesNewRomanPSMT,true,232,52,39,6,0.0
промышленных,false,359,14,40,false,TimesNewRomanPSMT,true,232,95,52,6,0.0
предприятий,false,460,14,53,false,TimesNewRomanPSMT,true,232,77,64,6,0.44465780490343443
и,false,545,14,65,false,TimesNewRomanPSMT,true,232,7,66,6,0.0
механизмы,false,85,14,0,false,TimesNewRomanPSMT,true,256,67,9,6,
ее,false,154,14,10,false,TimesNewRomanPSMT,true,256,12,12,6,0.3010299956639812
государственного,false,170,14,13,false,TimesNewRomanPSMT,true,256,106,29,6,0.0
регулирования,false,279,14,30,false,TimesNewRomanPSMT,true,256,88,43,6,0.3010299956639812
………………………………15,false,371,14,44,false,TimesNewRomanPSMT,true,256,181,58,6,
1.3,false,85,14,0,false,TimesNewRomanPSMT,true,280,17,3,6,
Роль,false,119,14,4,false,TimesNewRomanPSMT,true,280,28,8,6,0.3010299956639812
государства,false,165,14,9,false,TimesNewRomanPSMT,true,280,71,20,6,
в,false,253,14,21,false,TimesNewRomanPSMT,true,280,6,22,6,0.0
